id,name,url,image_url,group_name,sphere_name
139,Освещение крытого склада ФГКУ Комбинат «Красная Новь» Росрезерва,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/osveshchenie-krytogo-sklada-fgku-kombinat-krasnaya-nov-rosrezerva,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/41b/67add041b7b7a493843063.png,Освещение складских пространств,Складские помещения
140,Освещение улиц города Волноваха,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/osveshchenie-ulic-goroda-volnovaha,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/775/67add0775b47b756898552.jpg,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
141,Освещение автодороги к школе №16 по ул. Красная Горнячка. ООО «Главное строительное управление»,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/osveshchenie-avtodorogi-k-shkole-16-po-ul-krasnaya-gornyachka-ooo-glavnoe-stroitelnoe-upravlenie,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/89e/67add089ea57d985629284.jpg,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
142,"Капитальный ремонт автодороги на территории Карабашского городского округа Челябинской области (ул. Пархоменко, ул. Ремесленная, автодорога Первомайская)",https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/kapitalnyj-remont-avtodorogi-na-territorii-karabashskogo-gorodskogo-okruga-chelyabinskoj-oblasti-ul-parhomenko-ul-remeslennaya-avtodoroga-pervomajskaya,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/9ac/67add09acf2e9663873513.jpg,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
143,"Освещение автодороги квартал Северный, Администрация города Салехарда",https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/osveshchenie-avtodorogi-kvartal-severnyj-administraciya-goroda-saleharda,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/a9d/67add0a9d7d21894007492.jpg,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
144,"Освещение путепроводов, для обеспечения транспортной безопасности на автодороге Екатеринбург-Аэропорт «Кольцово»",https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/osveshchenie-puteprovodov-dlya-obespecheniya-transportnoj-bezopasnosti-na-avtodoroge-ekaterinburg-aeroport-kolcovo,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/bda/67add0bda2e38048784347.jpg,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
145,Устройство освещения на улично-дорожной сети города,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/ustrojstvo-osveshcheniya-na-ulichno-dorozhnoj-seti-goroda,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/cf8/67add0cf8e166571994855.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
146,Уличное освещение,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/ulichnoe-osveshchenie,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/e30/67add0e30c05f845927482.png,Производственные площадки и АКБ,Промышленное освещение
147,Уличное освещение строящегося жилого района «Гороховое поле»,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/ulichnoe-osveshchenie-stroyashchegosya-zhilogo-rajona-gorohovoe-pole,https://ladzavod.ru/storage/app/uploads/public/67a/dd0/f7b/67add0f7bb071286974549.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
148,Автомобильная дорога «Ляпино – Прусово» км 7+740 – км 8+468,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/avtomobilnaya-doroga-lyapino-prusovo-km-7740-km-8468,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/0a7/67add10a7c51b526562676.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
149,Освещение тоннелей метрополитена депо «Лихоборы»,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/osveshchenie-tonnelej-metropolitena-depo-lihobory,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/24e/67add124e25e7222480329.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
150,"Освещение автомобильной дороги «Вилюй» (от М-53 «Байкал» через Братск, Усть-Кут, Мирный до Якутска)",https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/osveshchenie-avtomobilnoj-dorogi-vilyuj-ot-m-53-bajkal-cherez-bratsk-ust-kut-mirnyj-do-yakutska,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/3ba/67add13ba7572025320805.png,Производственные площадки и АКБ,Промышленное освещение
151,Освещение автомобильной дороги «Ульяновск-Димитровград-Самара» (км 13+046-км 2+310),https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/osveshchenie-avtomobilnoj-dorogi-ulyanovsk-dimitrovgrad-samara-km-13046-km-2310,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/4ce/67add14cee7ca971332952.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
152,Освещение автодороги Тамбов-Пенза,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/osveshchenie-avtodorogi-tambov-penza,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/5e4/67add15e43c7b407024080.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
153,Устройство освещения автомобильной дороги и пешеходных дорожек на дороге общего пользования регионального значения «Астрахань-Камызяк»,https://ladzavod.ru/portfolio/ulichnoe-i-dorozhnoe-osveshchenie/ustrojstvo-osveshcheniya-avtomobilnoj-dorogi-i-peshehodnyh-dorozhek-na-doroge-obshchego-polzovaniya-regionalnogo-znacheniya-astrahan-kamyzyak,https://ladzavod.ru/storage/app/uploads/public/67a/dd1/72b/67add172b6fb2833436930.png,Уличное и дорожное освещение,"Наружное, уличное и дорожное освещение"
