id,catalog_lamps_id,etm_code,oracl_code,short_box_name_wms,catalog_1c,box_name,description,comments,is_active,archived_at,created_at,updated_at
56,1460,R3201175,,LADLED110G230АС50КEX,320-1-10Г-230АС-50 Ех консоль,ДКУ-55w IP66 6951Лм 5000К 10° Ex,,2825416,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
57,1454,R320E1159,,LADLED110G230АС50LEX,320-1-10Г-230АС-50 Ех лира,ДО-55w IP66 6951Лм 5000К 10° Ex,,1617961,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
58,1437,,1423064,LADLED110G36AC30KEX,,,"Светильник взрывозащищенный LAD LED R320-1-10G-36AC-30K Ex 35Вт 5000К IP66 36В КСС типа ""К"" консольное крепление LADesign LADLED110G36AC30KEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
59,1433,,1423065,LADLED110G36AC30LEX,,,"Светильник взрывозащищенный LAD LED R320-1-10G-36AC-30L Ex 35Вт 5000К IP66 36В КСС типа ""К"" крепление на лире LADesign LADLED110G36AC30LEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
60,1465,R3201170,,LADLED1LSG230АС30KEX,320-1-120Г-230АС-30 Ех консоль,ДКУ-35w IP66 3825Лм 5000К 120° Ex,,232127,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
61,1461,R3201153,,LADLED1LSG230AC30LEX,320-1-120Г-230АС-30 Ех лира,ДО-35w IP66 3825Лм 5000К 120° Ex,,5338529,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
62,1457,R3201171,,LADLED1LSG230АС50KEX,320-1-120Г-230АС-50 Ех консоль,ДКУ-55w IP66 6011Лм 5000К 120° Ex,,8009035,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
63,1456,R3201154,,LADLED1LSG230АС50LEX,320-1-120Г-230АС-50 Ех лира,ДО-55w IP66 6011Лм 5000К 120° Ex,,7386802,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
64,1434,,1423070,LADLED1LSG36AC30KEX,,,"Светильник взрывозащищенный LAD LED R320-1-120G-36AC-30K Ex 35Вт 5000К IP66 36В КСС типа ""Д"" консольное крепление LADesign LADLED1LSG36AC30KEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
65,1430,,1423071,LADLED1LSG36AC30LEX,,,"Светильник взрывозащищенный LAD LED R320-1-120G-36AC-30L Ex 35Вт 5000К IP66 36В КСС типа ""Д"" крепление на лире LADesign LADLED1LSG36AC30LEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
66,1467,R320E1177,,LADLED130G230АС30КEX,320-1-30Г-230АС-30 Ех консоль,ДКУ-35w IP66 4042Лм 5000К 30° Ex,,4253125,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
67,1463,R320E1162,,LADLED130G230АС30LEX,320-1-30Г-230АС-30 Ех лира,ДО-35w IP66 4042Лм 5000К 30° Ex,,1470011,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
68,1458,R3201178,,LADLED130G230АС50КEX,320-1-30Г-230АС-50 Ех консоль,ДКУ-55w IP66 6352Лм 5000К 30° Ex,,8622122,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
69,1455,R320E1163,,LADLED130G230АС50LEX,320-1-30Г-230АС-50 Ех лира,ДО-55w IP66 6352Лм 5000К 30° Ex,,385324,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
70,1436,,1423066,LADLED130G36AC30KEX,,,"Светильник взрывозащищенный LAD LED R320-1-30G-36AC-30K Ex 35Вт 5000К IP66 36В КСС типа ""Г"" консольное крепление LADesign LADLED130G36AC30KEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
71,1432,,1423067,LADLED130G36AC30LEX,,,"Светильник взрывозащищенный LAD LED R320-1-30G-36AC-30L Ex 35Вт 5000К IP66 36В КСС типа ""Г"" крепление на лире LADesign LADLED130G36AC30LEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
72,1466,R320E1180,,LADLED160G230АС30КEX,320-1-60Г-230АС-30 Ех консоль,ДКУ-35w IP66 3955Лм 5000К 60° Ex,,7656105,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
73,1462,R320E1166,,LADLED160G230АС30LEX,320-1-60Г-230АС-30 Ех лира,ДО-35w IP66 3955Лм 5000К 60° Ex,,2734456,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
74,1459,R3201181,,LADLED160G230АС50КEX,320-1-60Г-230АС-50 Ех консоль,ДКУ-55w IP66 6215Лм 5000К 60° Ex,,287269,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
75,1421,R320E1167,,LADLED160G230АС50LEX,320-1-60Г-230АС-50 Ех лира,ДО-55w IP66 6215Лм 5000К 60° Ex,,8051695,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
76,1435,,1423068,LADLED160G36AC30KEX,,,"Светильник взрывозащищенный LAD LED R320-1-60G-36AC-30K Ex 35Вт 5000К IP66 36В КСС типа ""Г"" консольное крепление LADesign LADLED160G36AC30KEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
77,1431,R320E1195,1423069,LADLED160G36AC30LEX,320-1-60Г-36АС-30 Ех лира,ДО-35w IP66 4368Лм 5000К 60° 36V Ex,"Светильник взрывозащищенный LAD LED R320-1-60G-36AC-30L Ex 35Вт 5000К IP66 36В КСС типа ""Г"" крепление на лире LADesign LADLED160G36AC30LEX",6285005,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
78,1449,R3201176,,LADLED210G230АС50КEX,320-2-10Г-230АС-50 Ех консоль,ДКУ-110w IP66 13904Лм 5000К 10° Ex,,1058136,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
79,1453,R320E1160,,LADLED210G230АС50LEX,320-2-10Г-230АС-50 Ех лира,ДО-110w IP66 13904Лм 5000К 10° Ex,,9525122,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
80,1429,,1423072,LADLED210G36AC30KEX,,,"Светильник взрывозащищенный LAD LED R320-2-10G-36AC-30K Ex 70Вт 5000К IP66 36В КСС типа ""K"" консольное крепление LADesign LADLED210G36AC30KEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
81,1425,,1423073,LADLED210G36AC30LEX,,,"Светильник взрывозащищенный LAD LED R320-2-10G-36AC-30L Ex 70Вт 5000К IP66 36В КСС типа ""K"" крепление на лире LADesign LADLED210G36AC30LEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
82,1446,R3201172,,LADLED2LSG230АС50КEX,320-2-120Г-230АС-50 Ех консоль,ДКУ-110w IP66 12023Лм 5000К 120° Ex,,1311025,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
83,1450,R3201156,,LADLED2LSG230АС50LEX,320-2-120Г-230АС-50 Ех лира,ДО-110w IP66 12023Лм 5000К 120° Ex,,3188489,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
84,1426,,1423078,LADLED2LSG36AC30KEX,,,"Светильник взрывозащищенный LAD LED R320-2-120G-36AC-30K Ex 70Вт 5000К IP66 36В КСС типа ""Д"" консольное крепление LADesign LADLED2LSG36AC30KEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
85,1422,,1423079,LADLED2LSG36AC30LEX,,,"Светильник взрывозащищенный LAD LED R320-2-120G-36AC-30L Ex 70Вт 5000К IP66 36В КСС типа ""Д"" крепление на лире LADesign LADLED2LSG36AC30LEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
86,1448,R3201179,,LADLED230G230АС50КEX,320-2-30Г-230АС-50 Ех консоль,ДКУ-110w IP66 12705Лм 5000К 30° Ex,,5345033,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
87,1452,R320E1164,,LADLED230G230АС50LEX,320-2-30Г-230АС-50 Ех лира,ДО-110w IP66 12705Лм 5000К 30° Ex,,957511,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
88,1428,,1423074,LADLED230G36AC30KEX,,,"Светильник взрывозащищенный LAD LED R320-2-30G-36AC-30K Ex 70Вт 5000К IP66 36В КСС типа ""Г"" консольное крепление LADesign LADLED230G36AC30KEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
89,1424,,1423075,LADLED230G36AC30LEX,,,"Светильник взрывозащищенный LAD LED R320-2-30G-36AC-30L Ex 70Вт 5000К IP66 36В КСС типа ""Г"" крепление на лире LADesign LADLED230G36AC30LEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
90,1447,R3201182,,LADLED260G230АС50КEX,320-2-60Г-230АС-50 Ех консоль,ДКУ-110w IP66 12431Лм 5000К 60° Ex,,4230660,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
91,1451,R320E1168,,LADLED260G230АС50LEX,320-2-60Г-230АС-50 Ех лира,ДО-110w IP66 12431Лм 5000К 60° Ex,,9574554,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
92,1427,,1423076,LADLED260G36AC30KEX,,,"Светильник взрывозащищенный LAD LED R320-2-60G-36AC-30K Ex 70Вт 5000К IP66 36В КСС типа ""Г"" консольное крепление LADesign LADLED260G36AC30KEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
93,1423,,1423077,LADLED260G36AC30LEX,,,"Светильник взрывозащищенный LAD LED R320-2-60G-36AC-30L Ex 70Вт 5000К IP66 36В КСС типа ""Г"" крепление на лире LADesign LADLED260G36AC30LEX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
94,1445,R3201177,,LADLED310G230АС50КEX,320-3-10Г-230АС-50 Ех консоль,ДКУ-165w IP66 20856Лм 5000К 10° Ex,,нет в базе ЭТМ,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
95,1441,R320E1161,,LADLED310G230АС50LEX,320-3-10Г-230АС-50 Ех лира,ДО-165w IP66 20856Лм 5000К 10° Ex,,1755119,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
96,1442,R3201173,,LADLED3LSG230АС50КEX,320-3-120Г-230АС-50 Ех консоль,ДКУ-165w IP66 18034Лм 5000К 120° Ex,,3597016,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
97,1438,R3201157,,LADLED3LSG230АС50LEX,320-3-120Г-230АС-50 Ех лира,ДО-165w IP66 18034Лм 5000К 120° Ex,,4002333,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
98,1444,R3201180,,LADLED330G230АС50КEX,320-3-30Г-230АС-50 Ех консоль,ДКУ-165w IP66 19057Лм 5000К 30° Ex,,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
99,1440,R320E1165,,LADLED330G230АС50LEX,320-3-30Г-230АС-50 Ех лира,ДО-165w IP66 19057Лм 5000К 30° Ex,,9580869,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
100,1443,R3201183,,LADLED360G230АС50КEX,320-3-60Г-230АС-50 Ех консоль,ДКУ-165w IP66 18644Лм 5000К 60° Ex,,2966212,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
101,1439,R320E1169,,LADLED360G230АС50LEX,320-3-60Г-230АС-50 Ех лира,ДО-165w IP66 18644Лм 5000К 60° Ex,,631080,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
102,1395,R5001148,454830,LADLED1101235K,500-1-10-12-35 консоль,ДКУ-35w IP67 5215Лм 5000К 10° 12V,"Светильник светодиодный LAD LED R500-1-10-12-35K 35Вт 5000К IP67 DC 12/24В КСС типа ""К"" консольное крепление LADesign LADLED1101235K",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
103,1605,R500E1106,1423146,LADLED1101235K2EX,500-1-10-12-35 2Ex консоль,ДКУ-35w IP65 5215Лм 5000К 10° 12V 2Ex,"Светильник взрывозащищенный LAD LED R500-1-10-12-35K 2Ex 35Вт 5000K IP65 12В КСС типа ""К"" консольное крепление LADesign LADLED1101235K2EX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
104,1388,R5001141,454831,LADLED1101235L,500-1-10-12-35 лира,ДО-35w IP67 5215Лм 5000К 10° 12V,"Светильник светодиодный LAD LED R500-1-10-12-35L 35Вт 5000К IP67 DC 12/24В КСС типа ""К"" крепление на лире LADesign LADLED1101235L",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
105,1598,R500E1101,1423147,LADLED1101235L2EX,500-1-10-12-35 2Ex лира,ДО-35w IP65 5215Лм 5000К 10° 12V 2Ex,"Светильник взрывозащищенный LAD LED R500-1-10-12-35L 2Ex 35Вт 5000K IP65 12В КСС типа ""К"" крепление на лире LADesign LADLED1101235L2EX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
106,1381,,,,,,,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
107,1653,R500E1076,1423183,LADLED1103635K2EX,500-1-10-36-35 2Ex консоль,ДКУ-35w IP65 5215Лм 5000К 10° 36V 2Ex,"Светильник взрывозащищенный LAD LED R500-1-10-36-35K 2Ex 35Вт 5000K IP65 36В КСС типа ""К"" консольное крепление LADesign LADLED1103635K2EX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
108,1374,,,,,,,,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
109,1646,R500E1071,1423184,LADLED1103635L2EX,500-1-10-36-35 2Ex лира,ДО-35w IP65 5215Лм 5000К 10° 36V 2Ex,"Светильник взрывозащищенный LAD LED R500-1-10-36-35L 2Ex 35Вт 5000K IP65 36В КСС типа ""К"" крепление на лире LADesign LADLED1103635L2EX",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
110,1493,R5001008,450022,LADLED110635K,500-1-10-6-35 консоль,ДКУ-35w IP67 5215Лм 5000К 10°,"Светильник светодиодный LAD LED R500-1-10-6-35K 35Вт 5000К IP67 230В КСС типа ""К"" консольное крепление LADesign LADLED110635K",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
